CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH,Origin_left_X,Origin_left_Y,Origin_right_X,Origin_right_Y
26,741,257,249,322,253,28.160255680657446,8.06225774829855,30.01666203960727,9.0,237,240,306,244
26,741,256,249,322,252,29.1547594742265,7.0710678118654755,31.0,9.055385138137417,235,240,306,243
26,741,257,248,322,252,30.14962686336267,9.219544457292889,31.0,9.0,235,239,306,243
26,741,257,249,322,253,29.27456233660889,8.246211251235321,31.016124838541643,9.0,236,240,306,244
26,741,257,249,322,252,30.26549190084311,9.055385138137417,31.0,9.0,235,239,306,243
26,741,256,248,322,252,30.26549190084311,9.219544457292889,32.0,9.0,234,239,306,243
26,741,256,248,322,252,29.1547594742265,9.219544457292889,32.0,10.0,235,239,305,242
26,741,255,249,321,253,29.27456233660889,8.06225774829855,31.0,10.0,234,240,305,243
26,741,254,249,320,252,29.27456233660889,9.055385138137417,32.01562118716424,10.0,233,239,304,242
26,741,256,249,320,252,30.26549190084311,9.055385138137417,31.0,9.0,234,239,304,243
26,741,256,248,322,252,30.26549190084311,9.055385138137417,32.0,9.0,234,239,305,243
26,741,256,249,322,253,30.26549190084311,9.055385138137417,31.0,10.0,234,240,306,243
0,551,256,249,321,253,30.26549190084311,9.055385138137417,31.0,10.0,234,239,305,243
15,246,254,249,321,253,30.26549190084311,8.06225774829855,32.01562118716424,10.0,233,239,304,243
38,87,255,249,321,252,29.27456233660889,9.055385138137417,31.0,9.055385138137417,234,239,304,243
34,0,255,248,320,252,30.14962686336267,9.055385138137417,31.016124838541643,10.0,233,239,304,242
34,0,254,248,320,251,30.26549190084311,8.246211251235321,31.0,9.0,232,239,304,242
31,5,253,248,319,251,30.26549190084311,9.055385138137417,31.016124838541643,10.04987562112089,232,238,303,241
29,10,248,243,317,248,30.413812651491096,9.219544457292889,32.0624390837628,11.045361017187261,231,235,301,238
28,12,247,241,317,246,31.40063693621516,10.19803902718557,32.14031735997639,11.045361017187261,229,233,301,236
25,12,246,241,315,247,30.413812651491096,10.04987562112089,33.060550509633075,11.0,229,233,299,237
24,12,246,241,316,246,31.40063693621516,11.180339887498947,32.0624390837628,12.041594578792294,228,233,300,236
23,12,245,242,315,247,31.40063693621516,11.180339887498947,32.0624390837628,11.0,227,234,299,237
23,12,244,242,314,248,30.413812651491096,11.045361017187261,33.060550509633075,12.0,227,234,298,237
23,12,246,242,316,247,30.413812651491096,11.180339887498947,33.13608305156178,12.041594578792294,228,234,300,236
23,12,247,243,317,247,31.57530680769389,11.045361017187261,32.0624390837628,12.041594578792294,230,234,301,237
23,12,248,242,317,248,31.40063693621516,11.180339887498947,33.060550509633075,12.041594578792294,230,234,301,237
23,12,248,242,318,247,32.38826948140329,11.045361017187261,33.13608305156178,12.041594578792294,229,233,302,236
23,12,248,243,318,248,31.40063693621516,11.045361017187261,33.13608305156178,11.0,231,234,302,237
23,12,247,244,317,248,30.26549190084311,10.04987562112089,31.016124838541643,10.0,231,236,301,239
23,12,252,247,316,250,29.27456233660889,9.219544457292889,31.0,9.0,230,238,300,241
23,12,245,245,315,250,31.40063693621516,11.045361017187261,33.060550509633075,11.0,227,237,299,240
23,12,246,244,316,249,31.256999216175565,11.180339887498947,33.060550509633075,11.0,228,236,299,239
23,12,246,244,316,250,31.40063693621516,11.180339887498947,33.13608305156178,11.0,229,236,300,240
23,12,247,243,317,248,31.256999216175565,11.045361017187261,32.0624390837628,11.045361017187261,230,235,301,238
23,12,247,243,317,248,31.40063693621516,11.045361017187261,32.0624390837628,12.0,229,235,301,238
23,12,254,248,316,251,27.16615541441225,8.06225774829855,30.0,8.0,234,240,301,243
23,12,247,244,317,249,30.413812651491096,10.04987562112089,32.0624390837628,11.045361017187261,230,236,301,239
23,12,247,244,317,249,30.413812651491096,10.04987562112089,32.0624390837628,10.04987562112089,230,236,301,240
23,12,247,245,317,250,30.413812651491096,11.045361017187261,32.0624390837628,11.0,230,237,301,240
23,12,247,244,317,248,31.40063693621516,11.180339887498947,32.0624390837628,12.041594578792294,229,235,301,238
23,12,247,244,317,249,31.40063693621516,11.180339887498947,33.13608305156178,11.0,229,236,300,239
23,12,247,244,317,249,30.26549190084311,11.045361017187261,33.060550509633075,11.045361017187261,230,236,301,239
23,12,247,244,317,248,31.40063693621516,11.180339887498947,33.13608305156178,11.045361017187261,229,236,301,238
23,12,246,244,316,249,31.40063693621516,11.180339887498947,33.060550509633075,12.0,229,235,300,238
23,12,246,244,316,249,30.26549190084311,11.045361017187261,33.060550509633075,11.0,229,236,300,239
23,12,246,245,316,251,30.413812651491096,10.04987562112089,33.13608305156178,12.0,229,237,300,240
23,12,254,251,316,253,28.160255680657446,8.06225774829855,31.0,9.0,233,242,300,244
23,12,246,246,316,250,30.26549190084311,10.19803902718557,32.0624390837628,10.04987562112089,229,239,300,241
23,12,246,246,316,249,30.26549190084311,10.04987562112089,33.060550509633075,11.0,229,237,300,239
23,12,246,245,316,250,30.413812651491096,11.045361017187261,33.060550509633075,11.0,229,237,300,240
23,12,246,245,316,249,30.26549190084311,10.04987562112089,33.060550509633075,11.045361017187261,229,236,300,240
23,12,246,245,316,250,30.413812651491096,10.04987562112089,32.0624390837628,11.0,229,237,300,240
23,12,245,245,315,250,31.40063693621516,10.04987562112089,33.060550509633075,11.0,228,237,299,240
23,12,246,245,315,250,31.256999216175565,11.045361017187261,33.060550509633075,12.0,228,237,299,240
23,12,246,245,316,249,31.40063693621516,10.19803902718557,33.060550509633075,12.041594578792294,228,236,300,238
23,12,247,245,317,249,31.40063693621516,11.045361017187261,33.13608305156178,11.0,228,236,300,238
23,12,246,244,317,249,30.26549190084311,11.045361017187261,32.14031735997639,12.041594578792294,229,235,300,238
23,12,254,251,314,254,28.0713376952364,7.0710678118654755,30.0,8.0,231,243,299,245
23,12,245,246,315,252,30.413812651491096,11.045361017187261,32.0624390837628,11.045361017187261,228,239,299,242
23,12,244,246,314,251,30.26549190084311,11.045361017187261,33.060550509633075,12.0,226,238,297,240
23,12,244,247,313,251,30.26549190084311,10.04987562112089,33.060550509633075,11.0,226,239,297,241
23,12,244,245,314,250,31.40063693621516,12.165525060596437,33.13608305156178,11.0,227,237,298,240
23,12,244,246,314,250,30.413812651491096,11.045361017187261,33.060550509633075,12.041594578792294,227,237,298,240
23,12,244,246,315,250,31.40063693621516,10.19803902718557,32.14031735997639,11.045361017187261,227,238,299,240
23,12,245,246,315,250,30.413812651491096,11.180339887498947,32.14031735997639,12.041594578792294,227,237,299,240
20,12,245,245,315,250,31.256999216175565,11.045361017187261,33.060550509633075,12.0,226,237,298,239
16,12,244,245,315,250,32.38826948140329,11.045361017187261,34.058772731852805,11.045361017187261,226,237,298,240
16,12,244,246,314,250,31.40063693621516,10.19803902718557,33.060550509633075,11.0,226,237,297,240
16,12,244,245,314,250,30.413812651491096,11.180339887498947,32.0624390837628,11.045361017187261,227,237,298,240
16,12,244,245,314,250,31.40063693621516,10.04987562112089,32.0624390837628,12.0,226,237,298,240
16,12,244,246,314,250,30.26549190084311,10.04987562112089,33.060550509633075,12.0,227,237,298,239
16,12,244,245,314,250,31.40063693621516,11.180339887498947,33.13608305156178,11.0,227,237,298,240
16,12,245,245,314,250,31.40063693621516,11.045361017187261,33.060550509633075,12.0,226,237,298,240
176,0,244,245,314,250,30.26549190084311,11.180339887498947,32.0624390837628,11.0,227,237,298,240
551,0,243,245,313,250,30.413812651491096,11.045361017187261,33.060550509633075,11.0,226,237,297,240
1044,8,243,245,314,249,31.40063693621516,11.180339887498947,32.14031735997639,11.045361017187261,226,237,298,239
1102,0,244,245,314,250,31.40063693621516,11.180339887498947,33.060550509633075,12.0,226,237,297,240
1102,0,251,249,313,252,29.27456233660889,9.219544457292889,30.01666203960727,10.0,229,240,298,242
1134,7,254,251,315,253,29.1547594742265,7.0710678118654755,31.016124838541643,8.06225774829855,230,242,299,244
1339,16,253,247,324,248,30.26549190084311,10.19803902718557,33.060550509633075,10.0,229,237,300,240
1365,16,255,247,327,248,31.40063693621516,10.04987562112089,33.015148038438355,11.0,231,236,302,240
1365,16,260,246,331,247,32.55764119219941,11.045361017187261,32.0624390837628,11.0,233,235,307,239
